id,titel,content_pillar,hook,visual_hook_first_2s,raum,location,stil,farbschema,kamera,laenge_sek,text_overlay,cta,monetarisierung,warum_laut_daten,test_variable,prioritaet
"C083","After Dark No. 08 – One House Awake in the Valley","P4 Night Stories","A whole valley asleep. One house still awake.","Dark mountain valley with a single warm-lit house and a tiny figure on its terrace; slow approach begins","exterior_facade","mountain (fictional valley)","warm_luxury + traditional_regional","black mountains, amber house, night blue, faint stars","long slow drone push from far away to the figure on the terrace","10-12","After Dark · AI concept","Would you want to be the one still awake?","Reichweite/Sends","KI mountain 1,72 (n=33) + KI night 1,27 (n=93) (04-DB); KI cabin_chalet nur 0,70 (n=63) → ungewöhnliche Architektur, kein Chalet-Klischee","Tempo: langsam 12 s vs. 8 s","B (Woche 3–4)"
"C084","After Dark No. 09 – Down to the Night Pool","P4 Night Stories","Every step down gets warmer.","Figure starting down a floor-lit stone stair toward a glowing indoor pool","stairs_hall + pool","none (interior, fictional)","warm_luxury","travertine, amber step lights, turquoise water","follow behind the figure descending","8-10","After Dark · AI concept","Walk down or jump in?","Reichweite","KI stairs 2,24 (n=16) + KI pool 1,16 (n=23) (04-DB); KI mit Personen 1,68× (Digest Key contrasts)","Figur: Rückenansicht vs. Silhouette von vorn","A (Start, Woche 1–2)"
"C085","After Dark No. 10 – Stepping Stones Home","P4 Night Stories","The path home only lights up where you step.","Dark garden pond; a stepping stone lights up under a figure's foot","garden_landscape","none (fictional)","tropical + minimalist","black water, amber stones, deep green","follow at ankle height, then rise to reveal the house","8-10","After Dark · AI concept","Send this to the person who'd fall in.","Reichweite/Sends; Gartenleuchten-'similar items' (q02)","KI garden 1,61 (n=43, 04-DB); Cover water_feature 1,09 (n=167), person 1,04 (n=505) (Digest-Segment)","Loop-Ende (zurück zum ersten Stein) vs. Reveal-Ende","A (Start, Woche 1–2)"
"C086","After Dark No. 11 – The Glass-Floor Lounge","P4 Night Stories","The floor is glass. The city is the carpet.","Figure standing on a glass floor with city lights far below, warm lamps around","living_room","city_skyline (fictional)","futuristic + warm_luxury","bronze, amber, city-light gold, night blue","top-down through the glass, then rise to eye level","8-10","After Dark · AI concept","Could you sleep on this floor?","Reichweite","explorativ: innerhalb Accounts city_skyline +16 Pp (Digest-Within), aber KI living_room 0,69 (n=123), KI city_skyline 0,77 (n=49) (04-DB) → kompensiert ein Fantasy-Element den schwachen Raum?","Explorativ: Fantasy-Element im schwachen Raum","C (Test/Backlog)"
"C087","After Dark No. 12 – Midnight Library Ladder","P4 Night Stories","A ladder, three floors of books, one lamp still on.","Rolling ladder gliding along a lit three-level library at night; figure on the top rung","office (library)","none (interior)","neoclassical + warm_luxury","walnut, brass, green lamp glass, amber","lateral dolly following the ladder","8-10","After Dark · AI concept","Which shelf do you start on?","Leuchten/Sessel-'similar items' (q02)","office/library 1,22 (n=25), neoclassical 1,63 (n=29) (Digest-Segment, n.s.); beobachtet: home-library-Reel longingtocomehome adj 48,1 (Digest-Top80)","Kamera: laterale Dolly vs. Push-in","B (Woche 3–4)"
"C088","After Dark No. 13 – Out of the Fog","P4 Night Stories","The fog opens for a moment. There's a house in it.","Wall of mountain fog with a warm glow behind it; the fog starts to part","exterior_facade","mountain (fictional)","futuristic + warm_luxury","grey-blue fog, amber glow, night blue","static; fog parts and closes again (loop)","8-10","After Dark · AI concept","Did you spot the figure on the terrace?","Reichweite/Rewatch","explorativ: fog gesamt 0,95 (n=109, Digest-Segment), innerhalb Accounts +3 Pp (Top-10 % = 28 Reels, kleine n); KI fog nur 0,73 (n=68, 04-DB) → Loop-Mechanik testen","Loop vs. lineares Ende","C (Test/Backlog)"
"C089","After Dark No. 14 – Meeting Halfway","P4 Night Stories","Two people, one glass bridge, the whole valley below.","Two small silhouettes meeting on a lit glass bridge between two stone towers","other (bridge) + exterior_facade","mountain (fictional)","futuristic","granite, amber floor light, stars","wide static, then slow push","8-10","After Dark · AI concept","Tag the person you'd meet halfway.","Reichweite/Sends","KI mit Personen 1,34 (n=106) vs. ohne 0,80 = 1,68×, p≈0,02 (Digest Key contrasts); tag_friend 1,16 (n=43, n.s.)","Personen: 1 vs. 2 Figuren","B (Woche 3–4)"
"C090","After Dark No. 15 – Blue Hour to Night, No Cuts","P4 Night Stories","Watch the house slide from blue hour into night without a single cut.","House at deep blue hour, the first windows starting to glow, figure on the dock","exterior_facade + pool","lake_river (fictional)","warm_luxury","blue hour → amber, reflections","locked-off single take with time-lapse feel","10-12","After Dark · AI concept","Blue hour or full night: which version?","Reichweite","blue_hour 0,98 (n=218) vs. night_artificial 1,14 (n=387) (Digest-Segment); innerhalb Accounts blue_hour −9 Pp vs. night +12 Pp (Digest-Within) → Licht-Test im selben Reel","Licht: Übergang vs. reine Nacht (C076)","B (Woche 3–4)"
"C091","Imagined in the Alps – The Chalet Inside the Rock","P5 Wildcard","An alpine home that's mostly mountain.","Warm windows glowing out of a rock face above an alpine meadow at night; figure on the path","exterior_facade + living_room","Swiss-Alps-inspired (concept, no real site)","traditional_regional + warm_luxury","granite, larch timber, amber, night blue (no snow focus)","slow drone approach from the meadow","10-12","Imagined in the Alps · AI concept","Summer or winter up here?","Reichweite; spätere Tourismus-/Hotel-Kooperation (Konditionen UNKNOWN, q03)","Switzerland 1,84 (n=16, Location-Kruskal n.s.); Location-Caption-Hook nur 0,63 (n=161, 0,66× n.s.) → Ort nur als Overlay/Setting; snow 0,66 (n=65) (Digest-Segment)","Location im Overlay vs. ohne Location","B (Woche 3–4)"
"C092","Imagined in Dubai – The Sky Villa Concept","P5 Wildcard","A villa hanging off the side of a tower. Concept only.","Warm-lit villa cantilevered from a stone tower above a glittering fictional city; swimmer in its pool","exterior_facade + pool","Dubai-inspired (concept, fictional city, no developer reference)","warm_luxury + futuristic","sandstone, gold light, turquoise pool, night blue","slow orbit around the cantilever","8-10","Imagined in Dubai · AI concept · not a real listing","Would you swim this high up?","Reichweite; KEINE Immobilienwerbung (VAE-Advertiser-Permit seit 01.02.2026 – q03)","Dubai/UAE 1,10 (n=97, Digest-Segment), KI Dubai 2,29 (n=11, low confidence, 04-DB); penthouse 0,57 (n=39) → kein Penthouse-Look","Location-Overlay: Dubai vs. neutral","C (Test/Backlog)"
"C093","Imagined in Tokyo – The One-Room-Wide Tower","P5 Wildcard","A house one room wide and ten rooms tall.","Narrow lit tower house squeezed between dark buildings, figure at the top opening","stairs_hall + other (vertical rooms)","Tokyo-inspired (concept, fictional street)","minimalist + warm timber","hinoki timber, paper-lantern amber, night blue, city-light bokeh","vertical crane up the facade, then inside the stair core","10-12","Imagined in Tokyo · AI concept","Which floor is the kitchen? Guess.","Reichweite","Tokyo/Japan 1,19 (n=15, Digest-Segment, Location n.s.); KI stairs_hall 2,24 (n=16, 04-DB); KI japandi nur 0,61 (n=15) → kein Japandi-Beige-Look","Stil: warm timber vs. futuristisch","B (Woche 3–4)"
"C094","Imagined near Tulum – The Cenote Living Room","P5 Wildcard","The living room opens straight into a cenote.","Warm-lit room at the edge of a glowing cenote pool in jungle darkness; swimmer below","living_room + pool","Tulum-inspired (concept, fictional)","tropical","limestone, turquoise water, amber, deep green","slow push from the room to the water's edge, tilt down","8-10","Imagined near Tulum · AI concept","Jump or take the stairs?","Reichweite; Outdoor-'similar items' (q02)","Mexico/Tulum 1,24 (n=15, Digest-Segment); KI tropical 1,70 (n=20, 04-DB); Location-Hook 0,63 (n=161) → Ort nur im Overlay","Hook: Architektur-Satz vs. Location-Satz","B (Woche 3–4)"
"C095","Cozy Night – The Reading Loft","P5 Wildcard","No plans tonight. Just this loft and the sound of nothing.","Warm reading loft under a timber roof, figure wrapped in a blanket, one lamp","other (loft)","none (interior)","warm_luxury + mid_century","walnut, cream wool, amber lamp, dark night blue (no candles)","static with a tiny push, seamless loop","7-9","Cozy Night · AI concept","What are you listening to up here?","Textil/Leuchten-'similar items' (q02); später YouTube-Long-form (Brief; q06: Cross-Platform-Funnels konvertieren bisher schwach)","explorativ: cozy_ambience 44 % frisch, neue Reels 1,10 (n=48), aber 67 % KI (Digest-Freshness) → Sättigung; candle_fire 0,555 (n=20), rain 0,70 (n=82) (Digest-Segment) → ohne Kerzen/Regen","Explorativ: Cozy ohne Regen/Kerzen vs. Account-Median","C (Test/Backlog)"
"C096","Guess the Build Cost – Unbuilt No. 009","P5 Wildcard","If this were real, what would it cost to build? Guess before it ends.","The stairs-into-pool concept already mid-reveal with a figure on the steps, small '?' in the corner","stairs_hall + pool","fictional","warm_luxury","series palette","slow push-in, single take","8-10","Concept only · not for sale · AI","Drop your guess. No wrong answers.","Reichweite/Kommentare; B2B-Gespräch zur Machbarkeit als Lead (q06)","Money-Hook 1,19 (n=82), 1,28× n.s. (Digest Key contrasts); KI money nur n=5 (low confidence, 04-DB); Preis nie als Fakt oder Listing (Brief Risiken, q07)","Hook: Preis-Frage vs. Curiosity-Statement (C009)","B (Woche 3–4)"
"C097","Warm Cyberpunk – The Spire Home","P5 Wildcard","Neon city outside. Lamp-warm calm inside.","Neon street far below; a warm-lit living cube at the top of a spire, figure at the railing","living_room + exterior_facade","city_skyline (fictional future city)","cyberpunk + warm_luxury","magenta/cyan accents outside, amber and walnut inside","drone rise from street level to the cube, easing out","8-10","Unbuilt: After 2100 · AI concept","Would you live in this city?","Reichweite; KI-Tool-Showcase (q03)","cyberpunk gesamt 3,04 (n=15, Digest-Segment; KI n=5, low confidence) – widerspricht der Markenpalette → nur Wildcard-Test","Palette: Neon-Kontrast vs. Markenpalette","C (Test/Backlog)"
"C098","Sky Island – A Home Above the Planet","P5 Wildcard","The garden ends at the edge of the sky.","Floating island home with a garden and pool, stars and a planet's curve behind; figure at the edge","garden_landscape + pool","space_sky (fictional)","futuristic + tropical planting","deep space blue, amber house glow, green","slow orbit around the island","8-10","Unbuilt: Sky Island · AI concept","How would you get groceries up here?","Reichweite; Wallpaper-Download als digitales Produkt (Umsatz UNKNOWN, q06)","space_sky 2,64 (n=12, low confidence, Digest-Segment), KI 3,42 (n=7, low confidence, 04-DB); KI fantasy 2,27 (n=53, Digest Key contrasts)","Explorativ: Sci-Fi-Setting vs. irdisch (C024)","C (Test/Backlog)"
"C099","The House You Don't Give Directions To","P5 Wildcard","The kind of home you don't give directions to.","Long private stone approach at night ending at a single glowing doorway; figure arriving","exterior_facade (entrance)","none (fictional)","warm_luxury + minimalist","dark stone, bronze, amber","long slow follow up the approach","10-12","Unbuilt · AI concept","Who gets an invitation? Tag them.","Reichweite/Sends","Status-Hook 1,37 (n=37, Digest-Segment, n.s.); tag_friend 1,16 (n=43); KI status nur n=6 (low confidence, 04-DB)","Hook: Status vs. Curiosity","C (Test/Backlog)"
"C100","Send It – The Treehouse for Two","P5 Wildcard","Send this to the person you'd share this treehouse with.","Two warm-lit mid-century treehouse pods joined by a rope bridge at dusk; two silhouettes","other (treehouse)","forest (fictional)","mid_century","teak, orange-amber glow, deep green, night blue","slow push along the rope bridge","8-10","AI concept","Send it. That's the whole ask.","Reichweite/Sends","treehouse vpf 9,44, 58 % ≥5× Follower (n=26; größenbereinigt adj nur 0,91); mid_century 1,50 (n=29); orange 1,10 (n=304) (Digest-Segment; Gebäudetyp-/Stil-Kruskal n.s., Farben nicht getestet); Sends-Signal (q09), aber CTA save_share nur 0,75 (n=102, n.s.) → Send-CTA nur als Test","CTA: Send-Aufforderung im Hook vs. nur in der Caption","B (Woche 3–4)"
